"Name","State","Notes","User","Tags","Created","Runtime","Sweep","CRF","acc","ap","auc","loss"
"mesonet_dfdc_wilddf_42 compression","finished","-","koru-labs2","","2022-06-09T06:21:08.000Z","622","","42","0.58571","0.61429","0.65102","0.67883"
"mesonet_dfdc_wilddf_40 compression","finished","-","koru-labs2","","2022-06-09T06:10:43.000Z","620","","40","0.6","0.61649","0.65714","0.67616"
"mesonet_dfdc_wilddf_38 compression","finished","-","koru-labs2","","2022-06-09T06:00:15.000Z","624","","38","0.65714","0.63368","0.67469","0.66655"
"mesonet_dfdc_wilddf_36 compression","finished","-","koru-labs2","","2022-06-09T05:49:46.000Z","625","","36","0.66071","0.64384","0.68602","0.6623"
"mesonet_dfdc_wilddf_32 compression","finished","-","koru-labs2","","2022-06-09T05:39:13.000Z","628","","32","0.68571","0.6347","0.6876","0.67021"
"mesonet_dfdc_wilddf_26 compression","finished","-","koru-labs2","","2022-06-09T05:28:22.000Z","646","","26","0.67143","0.6402","0.68939","0.66633"
"mesonet_dfdc_ff++_42 compression","finished","-","koru-labs2","","2022-06-09T03:17:57.000Z","7821","","42","0.62574","0.86727","0.56356","0.65456"
"mesonet_dfdc_ff++_40 compression","finished","-","koru-labs2","","2022-06-09T01:06:54.000Z","7858","","40","0.5777","0.86894","0.56653","0.67208"
"mesonet_dfdc_ff++_38 compression","finished","-","koru-labs2","","2022-06-08T22:52:20.000Z","8069","","38","0.5516","0.86963","0.57148","0.68723"
"mesonet_dfdc_ff++_36 compression","finished","-","koru-labs2","","2022-06-08T20:28:09.000Z","8644","","36","0.51423","0.87228","0.57661","0.69818"
"mesonet_dfdc_ff++_32 compression","finished","-","koru-labs2","","2022-06-08T18:17:32.000Z","7831","","32","0.47212","0.87079","0.57508","0.71745"
"mesonet_dfdc_ff++_26 compression","finished","-","koru-labs2","","2022-06-08T15:42:01.000Z","9321","","26","0.44247","0.8714","0.57685","0.73307"
"mesonet_dfdc_celebdf_42 compression","finished","-","koru-labs2","","2022-06-08T15:27:59.000Z","835","","42","0.65444","0.69635","0.57665","0.65986"
"mesonet_dfdc_celebdf_40 compression","finished","-","koru-labs2","","2022-06-08T15:13:56.000Z","837","","40","0.64865","0.69612","0.57526","0.66217"
"mesonet_dfdc_celebdf_38 compression","finished","-","koru-labs2","","2022-06-08T14:59:53.000Z","837","","38","0.6332","0.69729","0.57845","0.66436"
"mesonet_dfdc_celebdf_36 compression","finished","-","koru-labs2","","2022-06-08T14:45:49.000Z","836","","36","0.62162","0.70007","0.58397","0.66602"
"mesonet_dfdc_celebdf_32 compression","finished","-","koru-labs2","","2022-06-08T14:31:41.000Z","842","","32","0.62355","0.70344","0.58952","0.66773"
"mesonet_dfdc_celebdf_26 compression","finished","-","koru-labs2","","2022-06-08T14:17:04.000Z","872","","26","0.62162","0.70485","0.59268","0.66934"
"mesonet_dfdc_dfdc_42 compression","finished","-","koru-labs2","","2022-06-08T13:31:37.000Z","2721","","42","0.537","0.61133","0.60841","0.67757"
"mesonet_dfdc_dfdc_40 compression","finished","-","koru-labs2","","2022-06-08T12:42:59.000Z","2912","","40","0.537","0.61906","0.61445","0.67455"
"mesonet_dfdc_dfdc_38 compression","finished","-","koru-labs2","","2022-06-08T11:55:31.000Z","2838","","38","0.539","0.62009","0.61317","0.67344"
"mesonet_dfdc_dfdc_36 compression","finished","-","koru-labs2","","2022-06-08T11:07:05.000Z","2900","","36","0.546","0.62302","0.61624","0.67228"
"mesonet_dfdc_dfdc_32 compression","finished","-","koru-labs2","","2022-06-08T10:19:04.000Z","2871","","32","0.568","0.62726","0.61718","0.67067"
"mesonet_dfdc_dfdc_26 compression","finished","-","koru-labs2","","2022-06-08T09:27:09.000Z","3106","","26","0.583","0.63365","0.6198","0.67108"
"mesonet_dfdc_dfdc_42 compression","finished","-","koru-labs2","","2022-06-06T11:43:28.000Z","2735","","42","0.537","0.6113","0.60836","0.67761"
"mesonet_dfdc_dfdc_40 compression","finished","-","koru-labs2","","2022-06-06T11:00:00.000Z","2603","","40","0.538","0.6191","0.61446","0.67452"
"mesonet_dfdc_dfdc_38 compression","finished","-","koru-labs2","","2022-06-06T10:14:24.000Z","2731","","38","0.539","0.62006","0.61312","0.67346"
"mesonet_dfdc_dfdc_36 compression","finished","-","koru-labs2","","2022-06-06T09:27:49.000Z","2791","","36","0.546","0.62302","0.61617","0.67227"
"mesonet_dfdc_wilddf_None compression","finished","-","koru-labs2","","2022-06-06T09:27:18.000Z","484","","","0.68214","0.6401","0.68918","0.66875"
"mesonet_dfdc_dfdc_32 compression","finished","-","koru-labs2","","2022-06-06T08:38:59.000Z","2924","","32","0.568","0.62726","0.61718","0.67067"
"mesonet_dfdc_ff++_None compression","finished","-","koru-labs2","","2022-06-06T08:11:51.000Z","4516","","","0.42823","0.87366","0.58221","0.73884"
"mesonet_dfdc_celebdf_None compression","finished","-","koru-labs2","","2022-06-06T08:02:23.000Z","562","","","0.63127","0.71286","0.60197","0.66635"
"mesonet_dfdc_dfdc_26 compression","finished","-","koru-labs2","","2022-06-06T07:45:37.000Z","3192","","26","0.583","0.63289","0.61922","0.66979"
